,species
0,202
1,202
2,293
3,202
4,246
5,202
6,202
7,202
8,246
9,272
10,202
11,202
12,246
13,202
14,202
15,202
16,275
17,168
18,13
19,275
20,317
21,96
22,275
23,275
24,352
25,197
26,317
27,317
28,275
29,317
30,317
31,317
32,319
33,317
34,365
35,319
36,365
37,319
38,319
39,317
40,319
41,317
42,319
43,365
44,319
45,319
46,365
47,5
48,163
49,72
50,163
51,297
52,327
53,297
54,297
55,297
56,297
57,80
58,163
59,297
60,297
61,72
62,297
63,80
64,123
65,123
66,123
67,123
68,366
69,365
70,123
71,143
72,123
73,123
74,143
75,123
76,123
77,143
78,123
79,143
80,15
81,135
82,135
83,135
84,123
85,366
86,34
87,135
88,377
89,102
90,135
91,135
92,135
93,196
94,123
95,366
96,135
97,135
98,135
99,199
100,135
101,199
102,336
103,175
104,135
105,369
106,135
107,135
108,135
109,11
110,135
111,199
112,175
113,97
114,377
115,10
116,97
117,255
118,378
119,247
120,255
121,175
122,175
123,175
124,377
125,97
126,175
127,255
128,175
129,120
130,378
131,377
132,175
133,120
134,378
135,120
136,133
137,120
138,49
139,175
140,378
141,175
142,120
143,120
144,243
145,243
146,120
147,243
148,243
149,91
150,91
151,91
152,243
153,91
154,91
155,91
156,91
157,91
158,120
159,243
160,378
161,378
162,176
163,182
164,378
165,43
166,176
167,6
168,378
169,296
170,378
171,176
172,176
173,378
174,43
175,378
176,252
177,239
178,252
179,252
180,252
181,252
182,211
183,110
184,252
185,228
186,211
187,252
188,252
189,378
190,378
191,110
192,347
193,227
194,227
195,221
196,227
197,168
198,168
199,347
200,227
201,227
202,227
203,221
204,347
205,227
206,227
207,168
208,38
209,227
210,291
211,227
212,291
213,227
214,227
215,227
216,291
217,291
218,12
219,64
220,227
221,227
222,291
223,227
224,20
225,363
226,224
227,119
228,224
229,224
230,207
231,224
232,207
233,224
234,224
235,207
236,224
237,224
238,207
239,207
240,45
241,179
242,179
243,99
244,179
245,68
246,68
247,99
248,68
249,179
250,179
251,68
252,45
253,179
254,179
255,99
256,109
257,196
258,196
259,99
260,199
261,196
262,196
263,26
264,196
265,199
266,99
267,196
268,199
269,132
270,258
271,99
272,199
273,199
274,199
275,199
276,131
277,192
278,199
279,199
280,131
281,131
282,131
283,131
284,131
285,192
286,131
287,199
288,247
289,322
290,247
291,247
292,247
293,1
294,247
295,247
296,247
297,247
298,247
299,247
300,377
301,247
302,199
303,247
304,282
305,247
306,282
307,175
308,206
309,192
310,282
311,282
312,175
313,175
314,282
315,192
316,192
317,192
318,282
319,247
320,181
321,141
322,181
323,181
324,228
325,141
326,181
327,296
328,296
329,189
330,296
331,182
332,182
333,141
334,296
335,296
336,239
337,228
338,228
339,239
340,228
341,228
342,228
343,228
344,271
345,239
346,59
347,239
348,182
349,228
350,228
351,73
352,106
353,66
354,271
355,283
356,53
357,106
358,53
359,271
360,153
361,271
362,271
363,271
364,106
365,106
366,53
367,153
368,110
369,220
370,283
371,220
372,22
373,283
374,53
375,283
376,249
377,249
378,117
379,227
380,283
381,283
382,283
383,117
384,244
385,52
386,342
387,227
388,363
389,227
390,303
391,168
392,363
393,198
394,244
395,244
396,363
397,9
398,363
399,168
400,27
401,168
402,198
403,363
404,303
405,303
406,198
407,363
408,244
409,283
410,303
411,244
412,244
413,52
414,244
415,52
416,183
417,284
418,363
419,183
420,40
421,363
422,7
423,109
424,109
425,363
426,363
427,40
428,319
429,94
430,42
431,319
432,183
433,127
434,319
435,363
436,319
437,207
438,94
439,112
440,274
441,319
442,319
443,112
444,224
445,112
446,371
447,319
448,204
449,319
450,222
451,267
452,284
453,204
454,222
455,213
456,186
457,284
458,222
459,267
460,165
461,319
462,196
463,196
464,267
465,109
466,205
467,222
468,267
469,196
470,319
471,205
472,267
473,222
474,319
475,284
476,109
477,222
478,109
479,51
480,341
481,341
482,341
483,165
484,267
485,341
486,341
487,267
488,165
489,165
490,165
491,190
492,267
493,165
494,165
495,319
496,258
497,341
498,190
499,322
500,199
501,165
502,341
503,267
504,341
505,37
506,341
507,341
508,341
509,322
510,37
511,165
512,90
513,192
514,192
515,216
516,192
517,258
518,341
519,199
520,90
521,258
522,90
523,258
524,258
525,258
526,258
527,23
528,258
529,255
530,258
531,258
532,255
533,258
534,341
535,199
536,335
537,199
538,90
539,104
540,341
541,335
542,258
543,90
544,206
545,258
546,206
547,287
548,255
549,192
550,192
551,206
552,261
553,255
554,192
555,192
556,192
557,255
558,261
559,206
560,192
561,131
562,4
563,261
564,192
565,192
566,192
567,255
568,287
569,255
570,131
571,255
572,255
573,329
574,206
575,287
576,228
577,188
578,287
579,29
580,322
581,247
582,287
583,60
584,188
585,287
586,247
587,329
588,296
589,260
590,199
591,322
592,287
593,29
594,60
595,287
596,188
597,228
598,296
599,287
600,47
601,188
602,199
603,287
604,228
605,296
606,47
607,247
608,232
609,228
610,228
611,232
612,282
613,232
614,228
615,232
616,232
617,228
618,282
619,331
620,232
621,228
622,232
623,232
624,239
625,239
626,271
627,239
628,239
629,239
630,86
631,239
632,239
633,239
634,271
635,239
636,271
637,239
638,86
639,107
640,331
641,331
642,331
643,296
644,296
645,331
646,331
647,331
648,331
649,331
650,331
651,331
652,331
653,331
654,331
655,296
656,146
657,31
658,146
659,146
660,31
661,146
662,256
663,256
664,244
665,74
666,146
667,74
668,146
669,146
670,74
671,141
672,363
673,41
674,363
675,363
676,342
677,371
678,371
679,371
680,371
681,48
682,371
683,112
684,342
685,342
686,371
687,342
688,342
689,371
690,283
691,362
692,285
693,371
694,362
695,342
696,363
697,112
698,371
699,363
700,371
701,283
702,342
703,342
704,204
705,204
706,204
707,204
708,92
709,39
710,204
711,204
712,342
713,82
714,204
715,204
716,82
717,303
718,82
719,139
720,342
721,168
722,195
723,204
724,204
725,82
726,204
727,204
728,112
729,204
730,204
731,82
732,319
733,319
734,204
735,319
736,319
737,204
738,204
739,204
740,204
741,144
742,82
743,82
744,186
745,319
746,204
747,8
748,186
749,274
750,82
751,82
752,205
753,56
754,205
755,205
756,279
757,35
758,371
759,301
760,165
761,205
762,301
763,371
764,85
765,205
766,205
767,279
768,205
769,205
770,279
771,342
772,85
773,205
774,199
775,205
776,371
777,371
778,205
779,165
780,205
781,144
782,279
783,56
784,165
785,205
786,371
787,371
788,205
789,85
790,205
791,205
792,205
793,205
794,85
795,371
796,205
797,205
798,85
799,371
800,213
801,295
802,205
803,208
804,234
805,205
806,208
807,370
808,307
809,213
810,307
811,213
812,369
813,234
814,208
815,203
816,220
817,220
818,268
819,213
820,213
821,268
822,208
823,307
824,234
825,213
826,220
827,213
828,213
829,234
830,17
831,213
832,205
833,208
834,268
835,268
836,208
837,314
838,213
839,213
840,234
841,208
842,208
843,213
844,213
845,307
846,213
847,213
848,295
849,295
850,295
851,370
852,295
853,295
854,295
855,295
856,103
857,295
858,341
859,124
860,322
861,194
862,295
863,103
864,260
865,294
866,307
867,295
868,295
869,307
870,370
871,295
872,295
873,370
874,341
875,295
876,294
877,307
878,370
879,295
880,307
881,295
882,295
883,322
884,295
885,322
886,294
887,295
888,370
889,322
890,341
891,295
892,268
893,370
894,295
895,322
896,329
897,261
898,260
899,261
900,130
901,261
902,329
903,261
904,220
905,261
906,260
907,118
908,277
909,329
910,329
911,130
912,261
913,148
914,261
915,260
916,260
917,260
918,148
919,260
920,287
921,260
922,329
923,370
924,268
925,329
926,329
927,148
928,261
929,329
930,329
931,121
932,370
933,130
934,130
935,268
936,287
937,268
938,268
939,287
940,116
941,148
942,260
943,261
944,232
945,232
946,342
947,289
948,232
949,342
950,342
951,329
952,342
953,232
954,329
955,172
956,232
957,322
958,342
959,232
960,322
961,342
962,312
963,172
964,296
965,172
966,342
967,184
968,329
969,172
970,232
971,342
972,329
973,342
974,172
975,342
976,296
977,14
978,296
979,296
980,296
981,58
982,296
983,296
984,296
985,296
986,296
987,296
988,296
989,296
990,296
991,296
992,331
993,296
994,296
995,331
996,296
997,265
998,265
999,209
1000,209
1001,228
1002,265
1003,296
1004,296
1005,296
1006,228
1007,296
1008,286
1009,286
1010,302
1011,265
1012,265
1013,302
1014,164
1015,286
1016,164
1017,286
1018,164
1019,265
1020,164
1021,265
1022,180
1023,286
1024,231
1025,178
1026,178
1027,231
1028,24
1029,62
1030,231
1031,231
1032,231
1033,231
1034,298
1035,62
1036,24
1037,105
1038,231
1039,231
1040,139
1041,371
1042,274
1043,187
1044,371
1045,231
1046,187
1047,237
1048,187
1049,187
1050,187
1051,231
1052,274
1053,371
1054,371
1055,187
1056,371
1057,274
1058,274
1059,61
1060,187
1061,187
1062,187
1063,285
1064,245
1065,245
1066,139
1067,187
1068,139
1069,187
1070,245
1071,160
1072,370
1073,370
1074,340
1075,285
1076,342
1077,363
1078,340
1079,342
1080,69
1081,285
1082,83
1083,279
1084,340
1085,371
1086,279
1087,285
1088,279
1089,279
1090,279
1091,98
1092,342
1093,279
1094,340
1095,341
1096,363
1097,340
1098,98
1099,279
1100,363
1101,83
1102,341
1103,340
1104,363
1105,342
1106,342
1107,363
1108,266
1109,98
1110,98
1111,370
1112,279
1113,342
1114,279
1115,340
1116,205
1117,370
1118,370
1119,83
1120,357
1121,301
1122,370
1123,307
1124,307
1125,340
1126,307
1127,307
1128,301
1129,363
1130,340
1131,137
1132,370
1133,370
1134,307
1135,370
1136,363
1137,371
1138,363
1139,307
1140,139
1141,370
1142,19
1143,371
1144,307
1145,307
1146,340
1147,340
1148,301
1149,323
1150,340
1151,370
1152,363
1153,370
1154,301
1155,370
1156,370
1157,307
1158,371
1159,363
1160,371
1161,307
1162,340
1163,370
1164,54
1165,371
1166,340
1167,340
1168,370
1169,371
1170,371
1171,301
1172,363
1173,139
1174,340
1175,137
1176,314
1177,307
1178,370
1179,363
1180,340
1181,370
1182,82
1183,307
1184,314
1185,357
1186,203
1187,370
1188,370
1189,268
1190,203
1191,203
1192,108
1193,88
1194,294
1195,203
1196,294
1197,307
1198,114
1199,307
1200,370
1201,308
1202,314
1203,307
1204,114
1205,203
1206,294
1207,242
1208,108
1209,307
1210,308
1211,203
1212,307
1213,314
1214,307
1215,314
1216,193
1217,294
1218,294
1219,88
1220,370
1221,114
1222,193
1223,308
1224,108
1225,307
1226,213
1227,193
1228,370
1229,234
1230,203
1231,213
1232,314
1233,294
1234,203
1235,307
1236,307
1237,294
1238,203
1239,193
1240,203
1241,294
1242,268
1243,203
1244,294
1245,370
1246,294
1247,314
1248,194
1249,140
1250,194
1251,370
1252,268
1253,194
1254,32
1255,370
1256,370
1257,370
1258,75
1259,333
1260,370
1261,79
1262,370
1263,122
1264,268
1265,268
1266,194
1267,122
1268,370
1269,194
1270,370
1271,194
1272,194
1273,370
1274,194
1275,213
1276,268
1277,268
1278,125
1279,268
1280,268
1281,79
1282,16
1283,122
1284,370
1285,122
1286,220
1287,122
1288,322
1289,122
1290,268
1291,370
1292,194
1293,46
1294,194
1295,194
1296,194
1297,122
1298,311
1299,36
1300,370
1301,194
1302,268
1303,194
1304,194
1305,194
1306,122
1307,122
1308,149
1309,122
1310,75
1311,79
1312,311
1313,270
1314,370
1315,312
1316,149
1317,322
1318,312
1319,270
1320,312
1321,312
1322,312
1323,322
1324,270
1325,194
1326,329
1327,149
1328,50
1329,270
1330,194
1331,329
1332,230
1333,313
1334,270
1335,270
1336,322
1337,50
1338,312
1339,223
1340,313
1341,149
1342,312
1343,329
1344,149
1345,50
1346,287
1347,149
1348,225
1349,149
1350,149
1351,312
1352,223
1353,322
1354,322
1355,149
1356,149
1357,270
1358,270
1359,329
1360,225
1361,277
1362,225
1363,311
1364,277
1365,277
1366,270
1367,298
1368,298
1369,190
1370,268
1371,277
1372,190
1373,277
1374,277
1375,232
1376,190
1377,225
1378,277
1379,329
1380,223
1381,277
1382,190
1383,225
1384,277
1385,225
1386,277
1387,296
1388,289
1389,190
1390,190
1391,277
1392,298
1393,170
1394,136
1395,344
1396,329
1397,298
1398,298
1399,298
1400,329
1401,329
1402,298
1403,170
1404,298
1405,344
1406,170
1407,298
1408,278
1409,302
1410,298
1411,278
1412,298
1413,298
1414,170
1415,302
1416,298
1417,278
1418,298
1419,278
1420,298
1421,298
1422,298
1423,298
1424,343
1425,343
1426,343
1427,298
1428,298
1429,129
1430,343
1431,298
1432,343
1433,343
1434,298
1435,298
1436,129
1437,343
1438,343
1439,343
1440,286
1441,286
1442,286
1443,286
1444,286
1445,180
1446,63
1447,286
1448,286
1449,286
1450,286
1451,286
1452,286
1453,286
1454,286
1455,286
1456,231
1457,321
1458,348
1459,245
1460,358
1461,343
1462,358
1463,321
1464,166
1465,348
1466,341
1467,339
1468,340
1469,321
1470,245
1471,348
1472,341
1473,340
1474,340
1475,341
1476,337
1477,358
1478,340
1479,341
1480,341
1481,341
1482,310
1483,321
1484,245
1485,245
1486,341
1487,341
1488,349
1489,370
1490,349
1491,237
1492,371
1493,349
1494,349
1495,349
1496,171
1497,171
1498,245
1499,349
1500,349
1501,171
1502,349
1503,349
1504,340
1505,237
1506,349
1507,349
1508,349
1509,349
1510,349
1511,349
1512,340
1513,349
1514,237
1515,349
1516,349
1517,161
1518,340
1519,349
1520,349
1521,349
1522,371
1523,349
1524,21
1525,340
1526,139
1527,349
1528,349
1529,237
1530,151
1531,371
1532,349
1533,349
1534,349
1535,340
1536,370
1537,161
1538,161
1539,161
1540,307
1541,307
1542,370
1543,370
1544,323
1545,307
1546,370
1547,308
1548,323
1549,340
1550,161
1551,307
1552,308
1553,307
1554,348
1555,307
1556,357
1557,307
1558,370
1559,370
1560,370
1561,307
1562,323
1563,161
1564,161
1565,329
1566,370
1567,340
1568,307
1569,307
1570,363
1571,363
1572,370
1573,348
1574,370
1575,357
1576,307
1577,357
1578,161
1579,357
1580,161
1581,357
1582,370
1583,323
1584,294
1585,370
1586,348
1587,161
1588,307
1589,357
1590,358
1591,370
1592,161
1593,307
1594,186
1595,307
1596,323
1597,370
1598,370
1599,329
1600,357
1601,370
1602,357
1603,329
1604,370
1605,242
1606,358
1607,357
1608,219
1609,357
1610,357
1611,242
1612,370
1613,370
1614,167
1615,30
1616,357
1617,194
1618,95
1619,357
1620,370
1621,259
1622,329
1623,137
1624,323
1625,370
1626,314
1627,217
1628,137
1629,370
1630,307
1631,242
1632,357
1633,370
1634,357
1635,358
1636,370
1637,217
1638,370
1639,370
1640,217
1641,308
1642,329
1643,357
1644,242
1645,357
1646,217
1647,242
1648,242
1649,158
1650,167
1651,269
1652,370
1653,370
1654,370
1655,242
1656,137
1657,370
1658,269
1659,217
1660,242
1661,357
1662,217
1663,217
1664,158
1665,223
1666,370
1667,329
1668,314
1669,242
1670,358
1671,357
1672,329
1673,370
1674,137
1675,217
1676,358
1677,370
1678,357
1679,357
1680,344
1681,242
1682,242
1683,329
1684,344
1685,223
1686,344
1687,370
1688,314
1689,203
1690,370
1691,344
1692,329
1693,194
1694,344
1695,81
1696,344
1697,344
1698,223
1699,314
1700,344
1701,223
1702,344
1703,329
1704,259
1705,344
1706,344
1707,344
1708,344
1709,344
1710,344
1711,25
1712,370
1713,344
1714,242
1715,370
1716,77
1717,344
1718,329
1719,329
1720,370
1721,329
1722,329
1723,344
1724,329
1725,329
1726,314
1727,242
1728,314
1729,344
1730,344
1731,329
1732,329
1733,329
1734,344
1735,344
1736,344
1737,71
1738,370
1739,344
1740,329
1741,344
1742,333
1743,329
1744,313
1745,191
1746,344
1747,333
1748,311
1749,313
1750,241
1751,333
1752,333
1753,333
1754,251
1755,312
1756,333
1757,313
1758,313
1759,311
1760,370
1761,122
1762,311
1763,322
1764,251
1765,251
1766,324
1767,122
1768,311
1769,311
1770,333
1771,270
1772,78
1773,371
1774,324
1775,324
1776,311
1777,65
1778,314
1779,311
1780,329
1781,333
1782,333
1783,333
1784,313
1785,312
1786,78
1787,311
1788,333
1789,313
1790,311
1791,311
1792,173
1793,170
1794,344
1795,240
1796,289
1797,344
1798,370
1799,289
1800,280
1801,280
1802,280
1803,240
1804,126
1805,280
1806,173
1807,240
1808,240
1809,344
1810,240
1811,289
1812,173
1813,289
