,lon,lat,spec_0,spec_1,spec_2,spec_3,spec_4
0,-176.0,69.98829,3.0,2.0,2.0,2.0,3.0
1,-168.0,69.98829,0.0,4.0,2.0,3.0,5.0
2,-160.0,69.98829,7.0,5.0,1.0,1.0,2.0
3,-152.0,69.98829,1.0,1.0,2.0,6.0,6.0
4,-144.0,69.98829,3.0,2.0,3.0,4.0,1.0
5,-136.0,69.98829,1.0,2.0,4.0,3.0,3.0
6,-128.0,69.98829,1.0,2.0,3.0,3.0,3.0
7,-120.0,69.98829,8.0,0.0,2.0,2.0,1.0
8,-112.0,69.98829,4.0,3.0,3.0,2.0,2.0
9,-104.0,69.98829,2.0,2.0,3.0,2.0,4.0
10,-96.0,69.98829,1.0,1.0,5.0,3.0,1.0
11,-88.0,69.98829,3.0,4.0,0.0,4.0,2.0
12,-80.0,69.98829,2.0,2.0,6.0,4.0,1.0
13,-72.0,69.98829,2.0,3.0,1.0,6.0,1.0
14,-64.0,69.98829,3.0,2.0,3.0,5.0,1.0
15,-56.0,69.98829,0.0,2.0,5.0,3.0,2.0
16,-48.0,69.98829,3.0,2.0,1.0,3.0,4.0
17,-40.0,69.98829,2.0,4.0,1.0,3.0,2.0
18,-32.0,69.98829,4.0,1.0,4.0,2.0,2.0
19,-24.0,69.98829,0.0,3.0,4.0,3.0,3.0
20,-16.0,69.98829,4.0,2.0,3.0,1.0,4.0
21,-8.0,69.98829,3.0,4.0,2.0,3.0,0.0
22,0.0,69.98829,2.0,3.0,3.0,3.0,3.0
23,8.0,69.98829,2.0,3.0,1.0,1.0,3.0
24,16.0,69.98829,4.0,1.0,5.0,2.0,2.0
25,24.0,69.98829,1.0,2.0,2.0,1.0,6.0
26,32.0,69.98829,2.0,4.0,3.0,3.0,3.0
27,40.0,69.98829,1.0,1.0,5.0,4.0,3.0
28,48.0,69.98829,3.0,1.0,4.0,4.0,3.0
29,56.0,69.98829,2.0,3.0,3.0,3.0,3.0
30,64.0,69.98829,5.0,0.0,3.0,2.0,2.0
31,72.0,69.98829,2.0,2.0,3.0,3.0,5.0
32,80.0,69.98829,3.0,3.0,3.0,1.0,6.0
33,88.0,69.98829,2.0,2.0,3.0,5.0,4.0
34,96.0,69.98829,1.0,4.0,2.0,4.0,2.0
35,104.0,69.98829,2.0,5.0,2.0,4.0,2.0
36,112.0,69.98829,1.0,2.0,3.0,2.0,7.0
37,120.0,69.98829,2.0,3.0,3.0,0.0,3.0
38,128.0,69.98829,5.0,4.0,1.0,3.0,1.0
39,136.0,69.98829,2.0,1.0,5.0,2.0,3.0
40,144.0,69.98829,4.0,2.0,3.0,2.0,0.0
41,152.0,69.98829,4.0,1.0,4.0,1.0,2.0
42,160.0,69.98829,3.0,2.0,1.0,3.0,3.0
43,168.0,69.98829,2.0,3.0,3.0,4.0,2.0
44,176.0,69.98829,2.0,3.0,3.0,3.0,3.0
45,-176.0,51.743159999999996,3.0,4.0,2.0,4.0,2.0
46,-168.0,51.743159999999996,1.0,5.0,3.0,5.0,1.0
47,-160.0,51.743159999999996,2.0,6.0,1.0,1.0,5.0
48,-152.0,51.743159999999996,2.0,3.0,0.0,5.0,0.0
49,-144.0,51.743159999999996,3.0,3.0,4.0,1.0,3.0
50,-136.0,51.743159999999996,5.0,3.0,1.0,1.0,1.0
51,-128.0,51.743159999999996,1.0,3.0,3.0,3.0,1.0
52,-120.0,51.743159999999996,3.0,6.0,2.0,1.0,0.0
53,-112.0,51.743159999999996,6.0,2.0,2.0,0.0,1.0
54,-104.0,51.743159999999996,2.0,5.0,1.0,1.0,3.0
55,-96.0,51.743159999999996,4.0,2.0,3.0,1.0,1.0
56,-88.0,51.743159999999996,2.0,2.0,4.0,1.0,2.0
57,-80.0,51.743159999999996,5.0,1.0,4.0,3.0,1.0
58,-72.0,51.743159999999996,3.0,1.0,0.0,4.0,5.0
59,-64.0,51.743159999999996,1.0,3.0,3.0,3.0,2.0
60,-56.0,51.743159999999996,3.0,3.0,2.0,7.0,1.0
61,-48.0,51.743159999999996,0.0,3.0,5.0,3.0,3.0
62,-40.0,51.743159999999996,5.0,3.0,1.0,3.0,2.0
63,-32.0,51.743159999999996,2.0,2.0,1.0,2.0,4.0
64,-24.0,51.743159999999996,2.0,3.0,2.0,4.0,4.0
65,-16.0,51.743159999999996,3.0,2.0,2.0,2.0,4.0
66,-8.0,51.743159999999996,3.0,4.0,2.0,3.0,0.0
67,0.0,51.743159999999996,1.0,3.0,3.0,2.0,6.0
68,8.0,51.743159999999996,2.0,4.0,2.0,3.0,3.0
69,16.0,51.743159999999996,2.0,2.0,4.0,2.0,1.0
70,24.0,51.743159999999996,4.0,3.0,3.0,2.0,1.0
71,32.0,51.743159999999996,2.0,2.0,2.0,6.0,2.0
72,40.0,51.743159999999996,4.0,1.0,3.0,4.0,1.0
73,48.0,51.743159999999996,3.0,2.0,4.0,4.0,1.0
74,56.0,51.743159999999996,4.0,1.0,4.0,4.0,2.0
75,64.0,51.743159999999996,3.0,3.0,1.0,4.0,3.0
76,72.0,51.743159999999996,4.0,2.0,0.0,2.0,4.0
77,80.0,51.743159999999996,4.0,4.0,1.0,4.0,2.0
78,88.0,51.743159999999996,1.0,0.0,5.0,5.0,5.0
79,96.0,51.743159999999996,2.0,1.0,2.0,7.0,2.0
80,104.0,51.743159999999996,4.0,3.0,3.0,1.0,1.0
81,112.0,51.743159999999996,3.0,4.0,3.0,2.0,3.0
82,120.0,51.743159999999996,6.0,4.0,0.0,2.0,1.0
83,128.0,51.743159999999996,0.0,4.0,1.0,3.0,8.0
84,136.0,51.743159999999996,3.0,5.0,4.0,1.0,0.0
85,144.0,51.743159999999996,1.0,4.0,5.0,1.0,3.0
86,152.0,51.743159999999996,2.0,4.0,2.0,5.0,1.0
87,160.0,51.743159999999996,4.0,2.0,2.0,4.0,1.0
88,168.0,51.743159999999996,3.0,6.0,1.0,3.0,2.0
89,176.0,51.743159999999996,3.0,4.0,3.0,3.0,1.0
90,-176.0,40.03754,3.0,0.0,2.0,1.0,4.0
91,-168.0,40.03754,1.0,3.0,5.0,2.0,3.0
92,-160.0,40.03754,1.0,1.0,2.0,5.0,4.0
93,-152.0,40.03754,7.0,1.0,1.0,4.0,1.0
94,-144.0,40.03754,5.0,3.0,1.0,2.0,2.0
95,-136.0,40.03754,3.0,2.0,5.0,2.0,2.0
96,-128.0,40.03754,2.0,3.0,1.0,3.0,2.0
97,-120.0,40.03754,1.0,2.0,5.0,2.0,2.0
98,-112.0,40.03754,4.0,2.0,3.0,1.0,2.0
99,-104.0,40.03754,1.0,4.0,4.0,2.0,4.0
100,-96.0,40.03754,2.0,4.0,2.0,3.0,3.0
101,-88.0,40.03754,2.0,2.0,1.0,4.0,5.0
102,-80.0,40.03754,2.0,4.0,1.0,4.0,3.0
103,-72.0,40.03754,2.0,5.0,4.0,1.0,2.0
104,-64.0,40.03754,3.0,2.0,3.0,3.0,2.0
105,-56.0,40.03754,5.0,1.0,2.0,4.0,1.0
106,-48.0,40.03754,0.0,2.0,4.0,3.0,4.0
107,-40.0,40.03754,7.0,2.0,3.0,1.0,2.0
108,-32.0,40.03754,4.0,4.0,2.0,3.0,2.0
109,-24.0,40.03754,2.0,5.0,1.0,3.0,0.0
